token,score
personnalité,5.0
des,5.91
gens,5.98
quand,5.21
tu,5.59
reçois,5.0
des,5.91
snap,4.17
avec,6.72
les,6.43
têtes,5.25
de,6.24
chiens,4.51
et,6.81
les,6.43
changements,5.0
de,6.24
visages,3.72
363,4.2
rt,5.62
6,6.13
c,6.35
est,6.17
toujours,6.59
les,6.43
personnes,4.58
qu,6.09
on,6.06
aime,6.4
le,7.76
plus,6.56
à,7.29
qui,6.16
ont,5.48
le,7.76
dit,6.0
le,7.76
moins,6.27
364,3.89
je,6.19
n,6.26
ai,5.57
pas,5.86
trop,4.65
hésiter,5.0
vu,4.76
le,7.76
prix,6.18
365,5.16
rt,5.62
j,6.62
espère,5.0
que,5.08
vous,6.27
avez,5.0
eu,4.66
le,7.76
temps,5.32
de,6.24
prendre,5.51
vos,6.03
photos,4.72
le,7.76
ciel,6.95
bleu,7.27
est,6.17
déjà,4.5
de,6.24
retour,6.55
noseason,5.0
366,3.86
je,6.19
ramène,5.0
le,7.76
chocolat,6.33
chaud,6.13
et,6.81
le,7.76
fromage,6.78
fondu,5.0
367,3.73
on,6.06
m,5.94
a,5.78
piraté,5.0
mon,6.36
compte,5.67
dieu,6.69
merci,5.79
mon,6.36
cousin,6.97
a,5.78
réussi,5.0
à,7.29
me,6.01
le,7.76
récupérer,5.0
mais,5.7
j,6.62
ai,5.57
pleins,5.0
de,6.24
tweets,5.24
qui,6.16
ont,5.48
été,5.74
supprimés,5.0
368,4.09
rt,5.62
pogba,4.77
si,6.96
quelque,4.83
chose,6.1
va,4.51
mal,5.83
le,7.76
foot,5.72
me,6.01
redonne,5.0
le,7.76
sourire,4.73
je,6.19
suis,5.84
amoureux,6.2
du,7.73
foot,5.72
c,6.35
est,6.17
l,6.15
amour,7.54
de,6.24
ma,6.33
vie,6.28
https,4.56
369,4.77
que,5.08
t,6.09
le,7.76
genre,5.56
de,6.24
meuf,5.0
ki,5.33
tombe,4.46
tt,6.13
le,7.76
tps,4.03
370,4.3
calais,6.29
le,7.76
gouvernement,6.4
face,4.17
à,7.29
ses,6.19
mensonges,5.0
https,4.56
t,6.09
co,6.35
tzbf9xpalf,5.0
via,5.48
371,4.08
rt,5.62
ciara,6.59
elle,7.61
maîtrise,3.92
à,7.29
merveille,3.12
le,7.76
coupé,7.31
décalé,5.0
https,4.56
t,6.09
co,6.35
hsycj2gz8r,5.0
372,4.11
rt,5.62
merci,5.79
pour,6.17
le,7.76
cochon,6.28
et,6.81
la,5.78
belle,7.48
dédicace,5.0
https,4.56
t,6.09
co,6.35
gq8fjp9c2p,5.0
374,3.69
le,7.76
temps,5.32
il,5.33
est,6.17
bipolaire,5.0
375,4.44
rt,5.62
l,6.15
interdiction,4.01
d,5.91
exploiter,4.48
gazdeschiste,5.0
bientôt,5.0
inscrite,5.0
au,7.33
code,4.39
minier,4.72
https,4.56
t,6.09
co,6.35
ofa8rkn7ds,5.0
https,4.56
376,4.43
rt,5.62
quand,5.21
t,6.09
es,6.14
encore,6.93
déchiré,5.0
de,6.24
ta,6.73
soirée,5.12
de,6.24
la,5.78
veille,5.32
et,6.81
que,5.08
tu,5.59
vas,6.72
chercher,3.74
le,7.76
courrier,5.74
https,4.56
t,6.09
co,6.35
n2ijrj5wcx,5.0
377,3.88
ptdr,5.0
le,7.76
salon,6.9
c,6.35
devenu,5.0
un,4.86
salon,6.9
de,6.24
beauté,5.14
378,4.27
tout,6.58
le,7.76
monde,6.69
snap,4.17
la,5.78
neige,5.43
379,4.13
rt,5.62
jsp,4.6
c,6.35
quoi,4.32
le,7.76
pire,4.26
entre,5.2
les,6.43
fans,5.47
de,6.24
jul,5.67
qui,6.16
critique,5.12
nekfeu,5.0
ou,5.94
les,6.43
99,4.7
qui,6.16
taille,4.35
les,6.43
2000,4.96
380,4.23
rt,5.62
transfert,5.0
selon,5.65
la,5.78
sexta,4.94
neymar,5.42
discuterait,5.0
toujours,6.59
avec,6.72
le,7.76
psg,5.8
https,4.56
t,6.09
co,6.35
eqyorurz4n,5.0
382,3.77
rt,5.62
tomorrowland,5.71
c,6.35
est,6.17
dans,6.67
la,5.78
poche,5.98
mamaaaa,5.0
j,6.62
y,5.74
crois,4.75
tjrs,5.0
pas,5.86
et,6.81
le,7.76
prix,6.18
j,6.62
y,5.74
crois,4.75
ps,7.05
nn,6.35
plus,6.56
mdr,4.96
https,4.56
t,6.09
co,6.35
ybcbxgd6pb,5.0
383,4.84
le,7.76
mec,4.97
nu,5.35
mdr,4.96
encore,6.93
avec,6.72
sa,5.22
voiture,5.0
itinérante,5.0
d,5.91
384,4.79
rt,5.62
et,6.81
le,7.76
port,6.35
d,5.91
un,4.86
habit,4.21
restreignant,5.0
les,6.43
mouvements,4.33
en,4.83
présence,4.87
de,6.24
femmes,3.62
385,4.2
rt,5.62
le,7.76
clip,6.52
de,6.24
jaicherché,5.0
maintenant,5.12
disponible,5.0
en,4.83
integralite,5.0
et,6.81
en,4.83
exclusivite,5.0
sur,6.28
gt,7.05
gt,7.05
https,4.56
t,6.09
co,6.35
seddhjqkyw,5.0
386,5.48
rt,5.62
salondelagriculture,5.0
cette,5.98
vache,5.85
transcrit,5.0
les,6.43
propos,6.05
de,6.24
marine,6.27
le,7.76
pen,6.38
pour,6.17
les,6.43
sourds,5.0
et,6.81
malentendants,5.0
https,4.56
t,6.09
co,6.35
r3xpdn,5.0
387,4.12
rt,5.62
directan,5.0
député,5.6
aubert,5.31
defend,5.06
le,7.76
maintien,5.0
de,6.24
la,5.78
chasse,6.54
à,7.29
la,5.78
glu,5.31
tortureanimale,5.0
pratiquesdunautreage,5.0
ia,4.57
388,4.29
au,7.33
secours,5.19
tout,6.58
le,7.76
monde,6.69
est,6.17
hype,4.71
pour,6.17
de,6.24
la,5.78
neige,5.43
sur,6.28
ts,6.89
help,5.29
389,4.47
rt,5.62
ils,5.46
sont,6.13
capable,6.02
de,6.24
te,6.87
planter,6.7
un,4.86
couteau,5.52
dans,6.67
le,7.76
dos,5.64
et,6.81
te,6.87
demander,5.0
pourquoi,4.69
tu,5.59
saignes,5.0
390,4.55
oui,4.98
je,6.19
viens,5.44
de,6.24
voir,4.7
ça,5.21
sur,6.28
le,7.76
snap,4.17
d,5.91
un,4.86
copine,5.0
chez,7.17
nous,6.33
il,5.33
y,5.74
a,5.78
une,7.07
grand,6.64
soleil,6.46
mais,5.7
ça,5.21
fait,5.63
grave,3.79
froid,5.76
391,4.87
viens,5.44
vite,6.62
découvrir,5.0
le,7.76
nouveau,7.08
service,6.02
beauté,5.14
dont,5.29
je,6.19
ne,5.81
peux,5.0
plus,6.56
me,6.01
passer,6.03
https,4.56
t,6.09
co,6.35
csmmltyap4,5.0
392,4.29
la,5.78
princesse,5.65
mary,6.98
de,6.24
danemark,5.0
refuse,3.68
le,7.76
voile,5.91
en,4.83
arabie,5.0
saoudite,5.0
https,4.56
t,6.09
co,6.35
wbbp4zmi6v,5.0
https,4.56
t,6.09
co,6.35
w0uvyh5j4w,5.0
393,4.28
on,6.06
le,7.76
vit,5.6
bien,5.58
ouais,5.0
mdrrr,5.0
394,3.91
rt,5.62
booba,5.15
il,5.33
a,5.78
juste,6.45
dit,6.0
vivement,5.0
l,6.15
été,5.74
pourvu,5.0
qu,6.09
il,5.33
neige,5.43
il,5.33
a,5.78
déréglé,5.0
le,7.76
climat,5.49
395,4.8
rt,5.62
il,5.33
neige,5.43
à,7.29
paris,5.67
vous,6.27
venez,5.0
faire,6.22
un,4.86
tour,6.5
dans,6.67
le,7.76
jardin,6.9
rassurez,5.0
vous,6.27
on,6.06
a,5.78
tout,6.58
ce,6.34
qu,6.09
il,5.33
faut,6.37
https,4.56
t,6.09
co,6.35
jrrqm0y,5.0
396,4.19
l,6.15
extension,5.61
modulaire,5.0
une,7.07
autre,5.42
idée,5.66
de,6.24
l,6.15
habitat,4.56
https,4.56
t,6.09
co,6.35
s5lu6se01y,5.0
397,4.44
rt,5.62
le,7.76
verseau,5.0
a,5.78
toujours,6.59
raison,5.04
toujours,6.59
en,4.83
tout,6.58
cas,5.76
c,6.35
est,6.17
lui,7.54
qui,6.16
le,7.76
dit,6.0
https,4.56
t,6.09
co,6.35
j7ah3kv0aw,5.0
398,4.26
rt,5.62
dans,6.67
le,7.76
77,3.82
il,5.33
grêle,5.0
enfaite,5.0
c,6.35
encore,6.93
sympathique,5.0
que,5.08
la,5.78
neige,5.43
399,5.49
rt,5.62
pour,6.17
la,5.78
croissance,5.0
des,5.91
bénéfices,5.0
du,7.73
capital,4.9
il,5.33
faut,6.37
diminuer,5.0
le,7.76
coût,5.0
du,7.73
travail,5.39
http,4.9
t,6.09
co,6.35
juzhtfbzvw,5.0
400,4.56
que,5.08
tu,5.59
t,6.09
habille,5.0
vulgaire,5.0
ou,5.94
pas,5.86
ça,5.21
va,4.51
pas,5.86
empêcher,5.0
le,7.76
violeur,5.0
de,6.24
te,6.87
violer,5.0
401,5.31
en,4.83
ce,6.34
qui,6.16
me,6.01
concerne,5.0
tu,5.59
es,6.14
bien,5.58
placé,5.0
pour,6.17
le,7.76
savoir,6.37
ce,6.34
n,6.26
est,6.17
pas,5.86
une,7.07
idée,5.66
réçue,5.0
c,6.35
est,6.17
du,7.73
vécu,5.0
et,6.81
ca,4.38
pue,4.73
402,4.38
rt,5.62
mettez,5.0
lui,7.54
le,7.76
contrôle,4.77
parental,4.43
svp,6.06
https,4.56
t,6.09
co,6.35
3xxcjx5ols,5.0
403,4.69
comme,6.58
le,7.76
phénomène,5.0
est,6.17
terminé,5.0
ils,5.46
vont,4.46
ré,4.68
ouvrir,5.0
404,5.04
épuisant,5.0
le,7.76
laser,5.02
game,5.95
avec,6.72
50gamins,5.0
405,4.22
y,5.74
a,5.78
du,7.73
vent,5.84
il,5.33
neige,5.43
et,6.81
maintenant,5.12
le,7.76
soleil,6.46
il,5.33
revient,5.0
406,4.37
rt,5.62
le,7.76
jeter,5.99
de,6.24
babouche,5.0
est,6.17
magnifique,6.52
j,6.62
en,4.83
peux,5.0
plus,6.56
la,5.78
https,4.56
t,6.09
co,6.35
gstzxbgkds,5.0
407,4.8
rt,5.62
t,6.09
imagine,4.51
t,6.09
es,6.14
née,7.01
le,7.76
29,5.35
février,6.67
tu,5.59
vas,6.72
fêter,5.0
ton,6.36
aniv,5.0
tout,6.58
les,6.43
4,6.17
ans,5.18
408,4.23
ok,5.33
j,6.62
admets,5.0
le,7.76
ski,5.58
c,6.35
est,6.17
cool,6.65
mais,5.7
beaucoup,5.51
trop,4.65
cher,6.43
409,4.18
kai,5.17
sort,5.08
actuellement,5.0
d,5.91
une,7.07
petit,8.57
ruelle,5.26
au,7.33
coin,5.63
de,6.24
la,5.78
ville,7.72
avec,6.72
du,7.73
sang,6.46
un,4.86
peu,6.22
sur,6.28
le,7.76
coin,5.63
des,5.91
lèvres,5.0
410,4.37
rt,5.62
les,6.43
post,4.99
bad,3.26
mariage,6.79
c,6.35
est,6.17
sûrement,5.0
la,5.78
chose,6.1
qui,6.16
me,6.01
dégoûte,5.0
le,7.76
plus,6.56
ici,4.82
411,3.96
rt,5.62
jsuis,5.0
sortie,4.98
j,6.62
ai,5.57
cliqué,5.0
vite,6.62
fait,5.63
sur,6.28
le,7.76
vring,5.0
u,5.95
et,6.81
jsuis,5.0
tombée,5.0
sur,6.28
ça,5.21
mdr,4.96
https,4.56
t,6.09
co,6.35
lo6u88aqup,5.0
412,4.49
et,6.81
le,7.76
temps,5.32
est,6.17
de,6.24
nouveau,7.08
couvert,4.62
xd,6.21
413,3.98
test,5.38
skiier,5.55
a,5.78
terminé,5.0
le,7.76
oka,4.25
ski,5.58
marathon,5.25
avec,6.72
un,4.86
temps,5.32
de,6.24
00,5.41
23,5.34
38,4.74
félicitations,5.0
414,4.18
mdrrrr,5.0
j,6.62
viens,5.44
de,6.24
me,6.01
rendre,5.0
compte,5.67
que,5.08
y,5.74
avait,5.7
un,4.86
i,6.13
ii,5.56
et,6.81
iii,6.4
sur,6.28
mon,6.36
dm,5.51
je,6.19
croyais,5.0
y,5.74
avait,5.7
que,5.08
le,7.76
iii,6.4
c,6.35
chiant,5.0
415,4.33
ce,6.34
que,5.08
la,5.78
voix,5.16
peut,5.51
cacher,5.0
le,7.76
regard,4.83
le,7.76
livre,6.67
416,4.3
rt,5.62
video,5.96
mario,6.55
vargas,4.43
llosa,4.64
donald,5.89
trump,5.08
est,6.17
un,4.86
clown,4.49
démagogique,5.0
et,6.81
raciste,5.0
https,4.56
t,6.09
co,6.35
anf20kwwzh,5.0
https,4.56
t,6.09
co,6.35
biou5,5.0
417,4.04
sa,5.22
c,6.35
un,4.86
bail,4.67
on,6.06
part,5.65
après,5.7
ya,6.0
plus,6.56
de,6.24
bus,5.25
pour,6.17
le,7.76
retour,6.55
418,4.0
d,5.91
avoir,5.06
du,7.73
mal,5.83
à,7.29
le,7.76
dire,2.13
à,7.29
cause,3.25
de,6.24
cette,5.98
association,4.73
précisément,5.0
419,4.34
rt,5.62
ne,5.81
dépend,5.0
jamais,5.72
de,6.24
personne,6.02
parce,4.52
que,5.08
dans,6.67
ce,6.34
monde,6.69
même,6.66
ton,6.36
ombre,5.78
te,6.87
quitte,4.42
dans,6.67
le,7.76
noir,6.97
420,4.69
petitjavaispeur,5.0
de,6.24
sherkan,5.0
le,7.76
tigre,6.73
dans,6.67
le,7.76
livre,6.67
de,6.24
la,5.78
jungle,4.71
421,4.05
un,4.86
chien,6.57
pour,6.17
le,7.76
handicap,6.37
présenté,5.0
par,6.17
aftaa,5.0
fr,6.23
kisskissbankbank,5.0
https,4.56
t,6.09
co,6.35
omy1owhbg9,5.0
via,5.48
422,3.9
insulte,5.0
bah,5.68
dit,6.0
donc,5.13
le,7.76
petit,8.57
ne,5.81
sait,5.19
pas,5.86
faire,6.22
la,5.78
différence,5.0
entre,5.2
des,5.91
insultes,5.0
et,6.81
des,5.91
phrase,4.57
sans,5.94
insulte,5.0
o,6.53
423,3.56
rt,5.62
les,6.43
arabes,4.49
leurs,5.9
mariages,5.0
c,6.35
est,6.17
un,4.86
délire,5.0
ils,5.46
louent,5.0
des,5.91
audi,6.71
des,5.91
lambo,3.84
des,5.91
fusées,5.0
des,5.91
jet,4.95
packs,6.16
pour,6.17
finir,5.0
au,7.33
8eme,5.0
eta,4.68
424,4.14
rt,5.62
vidéos,5.0
pourquoi,4.69
scott,7.4
kelly,6.85
est,6.17
devenu,5.0
l,6.15
astronaute,5.0
le,7.76
plus,6.56
cool,6.65
de,6.24
l,6.15
univers,4.5
metronews,5.0
https,4.56
t,6.09
co,6.35
sntcvo6iay,5.0
https,4.56
425,4.38
rt,5.62
subhnan,5.0
allah,5.53
le,7.76
temps,5.32
dehors,4.67
dieu,6.69
est,6.17
vraiment,5.0
puissant,6.16
426,3.83
le,7.76
3eme,5.0
trimestre,3.9
jme,4.06
dit,6.0
trop,4.65
y,5.74
sert,4.53
a,5.78
r,5.87
jv,5.51
pas,5.86
taffer,5.0
427,4.14
rt,5.62
le,7.76
pire,4.26
jcrois,5.0
c,6.35
ls,7.37
gens,5.98
ki,5.33
se,5.9
croient,5.0
indispensables,5.0
ptdr,5.0
vs,5.5
etes,5.0
ls,7.37
meilleur,6.65
vs,5.5
changez,4.78
pas,5.86
428,4.51
rt,5.62
le,7.76
code,4.39
pas,5.86
le,7.76
code,4.39
tie,5.73
la,5.78
va,4.51
429,3.76
rt,5.62
digital,5.44
et,6.81
sénior,5.0
le,7.76
binôme,5.0
gagnant,5.0
pour,6.17
la,5.78
fidélisation,5.0
https,4.56
t,6.09
co,6.35
rpxtwygwed,5.0
https,4.56
t,6.09
co,6.35
sbihjvnrmy,5.0
430,4.59
rt,5.62
c,6.35
était,5.93
le,7.76
feu,5.89
apres,5.85
dans,6.67
le,7.76
bar,6.6
431,3.64
rt,5.62
les,6.43
caractéristiques,5.0
importantes,4.97
des,5.91
matelas,5.0
sont,6.13
le,7.76
niveau,5.0
de,6.24
consistance,5.0
et,6.81
la,5.78
qualité,4.27
des,5.91
matériaux,5.0
literie,5.0
http,4.9
433,4.76
j,6.62
avoue,5.0
que,5.08
c,6.35
est,6.17
naze,4.59
sur,6.28
celui,5.81
là,6.05
mais,5.7
j,6.62
aime,6.4
bien,5.58
le,7.76
reste,6.64
perso,5.0
434,3.8
tout,6.58
le,7.76
monde,6.69
dis,5.02
il,5.33
neige,5.43
moi,5.82
là,6.05
où,5.69
je,6.19
suis,5.84
y,5.74
a,5.78
un,4.86
grand,6.64
soleil,6.46
435,4.1
j,6.62
écoute,5.0
le,7.76
nouvel,7.28
album,6.4
des,5.91
the,5.04
1975,4.79
chui,6.74
____,5.89
pq,6.78
jme,4.06
suis,5.84
embrouillé,5.0
avec,6.72
laura,6.16
436,4.2
rt,5.62
je,6.19
suis,5.84
le,7.76
genre,5.56
de,6.24
fille,6.47
qui,6.16
boude,5.0
mais,5.7
qui,6.16
craque,5.0
au,7.33
bout,3.6
de,6.24
deux,5.87
minutes,5.53
437,4.11
rt,5.62
team,5.83
pas,5.86
de,6.24
message,5.45
mignon,7.05
le,7.76
soir,6.62
ni,4.99
le,7.76
matin,7.3
ni,4.99
jamais,5.72
439,4.15
rt,5.62
breaking,4.34
news,4.91
cette,5.98
averse,4.23
de,6.24
neige,5.43
aura,6.23
duré,5.0
aussi,5.47
longtemps,5.0
que,5.08
le,7.76
pokémon,5.93
direct,5.22
440,4.67
mais,5.7
par,6.17
le,7.76
ciel,6.95
d,5.91
où,5.69
tenez,5.0
vous,6.27
que,5.08
la,5.78
résolution,5.0
2211,4.92
contredit,5.0
les,6.43
précédentes,5.0
et,6.81
est,6.17
préséante,5.0
441,4.02
grave,3.79
le,7.76
pvp,5.18
en,4.83
1,5.95
9,6.19
est,6.17
pas,5.86
mal,5.83
p,6.36
442,4.15
rt,5.62
les,6.43
profs,4.3
ça,5.21
fait,5.63
20ans,5.0
ils,5.46
sont,6.13
au,7.33
lycée,5.9
ils,5.46
savent,5.0
tjrs,5.0
pas,5.86
quand,5.21
ça,5.21
sonne,4.9
moi,5.82
ça,5.21
fait,5.63
trois,5.69
ans,5.18
j,6.62
y,5.74
suis,5.84
je,6.19
le,7.76
sais,4.66
plus,6.56
443,4.12
vidéo,4.79
le,7.76
roadtrip,4.75
aux,6.83
457,3.81
missions,4.52
pour,6.17
parcourir,5.0
les,6.43
états,3.91
unis,4.24
https,4.56
t,6.09
co,6.35
5fktt2pia6,5.0
444,3.68
rt,5.62
concours,5.67
75,4.42
follower,7.86
pour,6.17
le,7.76
tirage,5.0
au,7.33
sort,5.08
rt,5.62
pour,6.17
tenter,4.04
de,6.24
gagner,6.29
le,7.76
pack,7.3
https,4.56
t,6.09
co,6.35
ehydnmjrju,5.0
445,4.04
je,6.19
ne,5.81
veux,5.16
pas,5.86
un,4.86
7,5.98
0,5.87
mais,5.7
effectivement,5.0
le,7.76
cas,5.76
échéant,5.0
une,7.07
politique,5.56
d,5.91
opposition,4.97
profilée,5.0
sera,6.05
nécessaire,5.0
446,3.75
bon,8.13
par,6.17
contre,4.51
avec,6.72
le,7.76
confrère,5.0
adverse,2.62
pas,5.86
de,6.24
souci,5.57
hein,5.91
spour,5.0
1,5.95
ami,6.46
en,4.83
plus,6.56
il,5.33
y,5.74
a,5.78
prescription,3.88
me,6.01
souffle,5.46
t,6.09
il,5.33
447,3.26
le,7.76
rêve,6.22
est,6.17
fini,5.28
mnt,4.18
il,5.33
pleut,5.0
448,4.19
rt,5.62
gradur,5.0
quand,5.21
il,5.33
venait,5.0
d,5.91
arriver,5.0
dans,6.67
le,7.76
game,5.95
et,6.81
qu,6.09
il,5.33
envoyais,5.0
des,5.91
freestyle,5.52
sheguey,5.0
chaque,5.44
semaine,4.87
c,6.35
était,5.93
énerver,5.0
main,5.99
449,4.1
rt,5.62
le,7.76
clip,6.52
de,6.24
jaicherché,5.0
maintenant,5.12
disponible,5.0
en,4.83
integralite,5.0
et,6.81
en,4.83
exclusivite,5.0
sur,6.28
gt,7.05
gt,7.05
https,4.56
t,6.09
co,6.35
seddhjqkyw,5.0
451,4.32
excuse,4.09
moi,5.82
de,6.24
te,6.87
dire,2.13
ça,5.21
mais,5.7
tu,5.59
es,6.14
extrêmement,5.0
drôle,5.0
toi,6.45
dit,6.0
donc,5.13
pas,5.86
trop,4.65
dur,5.06
le,7.76
brevet,5.54
cette,5.98
année,4.49
452,4.12
instant,6.13
foodporn,5.0
découvrez,5.0
le,7.76
cornet,6.68
de,6.24
glace,6.14
donut,5.66
https,4.56
t,6.09
co,6.35
mgat0f9vej,5.0
https,4.56
t,6.09
co,6.35
horqujo9tv,5.0
453,4.02
rt,5.62
le,7.76
3,5.99
du,7.73
26,5.27
et,6.81
le,7.76
27,5.44
j,6.62
arrive,5.43
pas,5.86
j,6.62
vous,6.27
en,4.83
supplie,5.0
https,4.56
t,6.09
co,6.35
stejlpuanc,5.0
454,4.1
rt,5.62
rester,4.71
4h,4.52
assise,3.93
sur,6.28
une,7.07
chaise,6.1
pour,6.17
rater,5.83
le,7.76
bac,5.66
blanc,7.45
jdis,5.0
non,4.07
455,4.04
rt,5.62
pour,6.17
cette,5.98
fille,6.47
que,5.08
j,6.62
aime,6.4
fort,7.02
s,5.9
il,5.33
vous,6.27
plait,4.8
rt,5.62
pour,6.17
ma,6.33
meilleure,5.0
elle,7.61
n,6.26
a,5.78
jamais,5.72
pu,5.77
le,7.76
rencontrer,5.0
ni,4.99
le,7.76
voir,4.7
justinbieb,5.0
456,4.03
mais,5.7
wshhh,5.0
c,6.35
quoi,4.32
le,7.76
temps,5.32
la,5.78
457,3.81
rt,5.62
bonjour,5.74
cette,5.98
personne,6.02
a,5.78
disparu,5.0
dimanche,6.18
pensez,5.0
à,7.29
ses,6.19
proches,5.0
merci,5.79
de,6.24
rt,5.62
le,7.76
plus,6.56
possible,4.58
s,5.9
il,5.33
vous,6.27
plaît,5.0
https,4.56
458,3.85
le,7.76
saviez,5.0
vous,6.27
sextinfo,5.0
répond,5.0
à,7.29
toutes,4.7
les,6.43
questions,3.83
sur,6.28
la,5.78
santé,4.75
sexuelle,5.0
mensssuelle,5.0
https,4.56
t,6.09
co,6.35
lyrykak7s6,5.0
459,3.57
une,7.07
série,4.39
documentaire,5.0
réalisé,5.0
pour,6.17
le,7.76
jeu,6.51
tom,5.87
clancy,6.02
s,5.9
the,5.04
division,5.28
par,6.17
ubisoft,5.53
biborg,5.0
amp,7.04
r,5.87
i,6.13
creative,6.09
https,4.56
t,6.09
co,6.35
znxtezwzfo,5.0
461,4.25
rt,5.62
tiens,5.0
le,7.76
frère,6.48
bartolone,5.12
vient,5.62
d,5.91
être,5.76
fait,5.63
chevalier,6.71
de,6.24
l,6.15
ordre,5.39
du,7.73
mérite,6.2
https,4.56
t,6.09
co,6.35
ir3rvajyfr,5.0
regionales2015,5.0
http,4.9
462,4.26
rt,5.62
rdv,3.25
le,7.76
11,4.94
mars,5.82
https,4.56
t,6.09
c,6.35
463,4.24
n,6.26
ba,5.45
de,6.24
aya,4.55
cissoko,3.99
dans,6.67
le,7.76
canard,5.72
enchainé,5.0
cette,5.98
semaine,4.87
https,4.56
t,6.09
co,6.35
wqicp3gupw,5.0
464,4.15
rt,5.62
les,6.43
électeurs,5.0
crédules,5.0
et,6.81
de,6.24
gauche,6.49
répétition,5.0
quittent,5.0
le,7.76
navire,5.0
https,4.56
t,6.09
co,6.35
hgagwqtrhc,5.0
465,4.12
le,7.76
premier,6.66
qui,6.16
dérange,5.0
mon,6.36
placard,4.9
je,6.19
lui,7.54
casse,6.1
la,5.78
gueule,5.0
466,4.15
jusqu,5.2
à,7.29
le,7.76
vent,5.84
m,5.94
emportais,5.0
mdr,4.96
467,4.2
ça,5.21
prend,5.0
en,4.83
compte,5.67
le,7.76
ratio,4.75
de,6.24
wins,5.5
en,4.83
normale,5.16
si,6.96
il,5.33
n,6.26
y,5.74
a,5.78
jamais,5.72
eu,4.66
de,6.24
ranked,5.36
avant,7.94
je,6.19
crois,4.75
468,3.6
faut,6.37
pas,5.86
regretter,5.0
le,7.76
passé,6.38
et,6.81
regarder,5.0
vers,5.45
le,7.76
futur,5.92
469,3.99
rt,5.62
selon,5.65
le,7.76
bilan,5.52
financier,5.43
de,6.24
liverpool,5.82
le,7.76
transfert,5.0
de,6.24
luis,5.01
suarez,5.21
à,7.29
barcelona,5.11
a,5.78
rapporté,5.0
96,3.93
3m,4.72
https,4.56
t,6.09
co,6.35
a8qzjxt2jr,5.0
470,4.95
bonjour,5.74
voici,5.31
le,7.76
lien,5.78
d,5.91
un,4.86
sondage,5.0
pour,6.17
mon,6.36
tpe,5.67
pourriez,5.0
vous,6.27
y,5.74
répondre,5.0
svp,6.06
merci,5.79
https,4.56
t,6.09
co,6.35
3iif5lrhru,5.0
471,3.64
par,6.17
contre,4.51
qd,5.23
jui,4.85
rentrée,5.0
g,6.46
vu,4.76
que,5.08
jav,5.0
une,7.07
tâche,5.0
sur,6.28
le,7.76
pantalon,5.0
et,6.81
jsp,4.6
s,5.9
il,5.33
l,6.15
a,5.78
vu,4.76
472,3.67
rt,5.62
comment,4.6
tu,5.59
peux,5.0
défendre,5.0
le,7.76
viol,6.49
y,5.74
a,5.78
0,5.87
excuses,4.19
473,4.06
rt,5.62
pourquoi,4.69
t,6.09
es,6.14
tout,6.58
le,7.76
temps,5.32
en,4.83
retard,4.59
http,4.9
t,6.09
co,6.35
25uslmyyvb,5.0
474,3.08
c,6.35
est,6.17
quand,5.21
les,6.43
gens,5.98
sont,6.13
encore,6.93
là,6.05
qu,6.09
il,5.33
faut,6.37
en,4.83
profiter,5.0
après,5.7
c,6.35
est,6.17
trop,4.65
tard,6.09
et,6.81
tu,5.59
regrettes,5.0
de,6.24
ne,5.81
pas,5.86
avoir,5.06
pris,5.14
le,7.76
temps,5.32
476,3.7
rt,5.62
qui,6.16
bande,4.85
le,7.76
plus,6.56
quand,5.21
je,6.19
le,7.76
frotte,5.0
477,3.85
la,5.78
plupart,5.0
des,5.91
haineux,5.0
n,6.26
ont,5.48
pas,5.86
lu,6.82
le,7.76
livre,6.67
de,6.24
la,5.78
haine,4.34
478,3.44
quelles,5.0
sont,6.13
les,6.43
régions,4.71
où,5.69
il,5.33
y,5.74
a,5.78
le,7.76
plus,6.56
d,5.91
offres,5.0
d,5.91
emplois,5.0
non,4.07
pourvues,5.0
https,4.56
t,6.09
co,6.35
7tdgjdklbk,5.0
via,5.48
479,4.27
elle,7.61
a,5.78
les,6.43
cheveux,5.0
comme,6.58
katherine,5.72
prcq,5.0
si,6.96
non,4.07
cst,4.84
le,7.76
premier,6.66
double,5.19
480,3.91
rt,5.62
les,6.43
baroudeurs,5.0
de,6.24
beauce,4.6
centre,6.62
atome,5.0
cc,5.67
remportent,5.0
le,7.76
tournoi,5.01
de,6.24
beauport,4.71
https,4.56
t,6.09
co,6.35
zuapt5aoxl,5.0
https,4.56
t,6.09
co,6.35
o0pupq5nhf,5.0
481,3.82
rt,5.62
le,7.76
jour,7.03
où,5.69
dans,6.67
les,6.43
pub,6.92
pour,6.17
mascara,4.93
ils,5.46
arrêteront,5.0
de,6.24
nous,6.33
prendre,5.51
pour,6.17
des,5.91
connes,3.62
avec,6.72
leurs,5.9
putain,5.0
de,6.24
faux,5.68
cils,5.0
on,6.06
aura,6.23
f,5.67
482,3.49
rt,5.62
starfoullah,5.0
vous,6.27
insulter,5.0
le,7.76
temps,5.32
mais,5.7
c,6.35
le,7.76
tout,6.58
puissant,6.16
qui,6.16
nous,6.33
envoi,4.29
ce,6.34
temps,5.32
484,3.39
la,5.78
boîte,4.68
easy,6.48
r,5.87
dacia,6.05
désormais,5.0
sur,6.28
le,7.76
dci,5.0
90,4.0
https,4.56
t,6.09
co,6.35
s7exhsyxvh,5.0
